mapX,mapY,pixelX,pixelY,enable,dX,dY,residual
398824.98886701586889103,139362.16922404445358552,2598.64625563449271795,1527.76588419730774149,1,2.85070087393432914,4.2543262916697131,5.12111195626907989
398513.11861576221417636,139298.20983345719287172,3016.0005693953617083,2222.6815637933641483,1,2.10888800967359202,-12.06855420708507154,12.25142478598696805
398222.91075762698892504,139112.69045817604637705,3170.7544202765711816,3132.08730517191042964,1,-8.27923798796973642,7.97729028864705469,11.49708406557000906
398287.57454481697641313,138812.39177924560499378,2449.35619699991048037,3530.68097769156838694,1,21.25797050871506144,-12.1571028078233212,24.48870063579088452
398675.59225030901143327,138809.02769388249726035,1784.30423353174705881,2798.87965529054145009,1,7.81975661161141034,-8.82649520289305656,11.79218431977445469
398611.51599223603261635,139140.45941231696633622,2553.32079991994623924,2342.59973648260984191,1,-10.23590050928532946,10.96111109390585625,14.99732028226821967
398899.55391166592016816,138702.23373968072701246,1208.05823616200927972,2580.05276759205889903,1,-10.02301526655423913,7.3283149890421555,12.41632133976079366
398785.97584220836870372,138868.44458278547972441,1706.97773852662862737,2481.48828622074915984,1,8.709890529717768,-8.06936718148517684,11.87336850894880946
398541.29454058950068429,139044.50209276980604045,2482.1198250323927823,2641.12089300754132637,1,-2.71296263418844319,2.0717486210332936,3.41354780298387617
398268.45521619520150125,138610.91385196527699009,2126.17160222190750574,3951.69933893931511193,1,-11.4960901356512295,8.5287281149858245,14.31430374368125413
