mapX,mapY,pixelX,pixelY,enable,dX,dY,residual
1986321.76660660840570927,784487.9952015356393531,1348.05827841845234616,-940.50556013179550519,1,0.2832735868198597,102.16305412605822767,102.16344685007888415
1986912.30102719203568995,782475.9610518628032878,1249.99608731466264544,-1678.2502059308067146,1,-2.16381097109774601,9.7147856165279336,9.95284569827850696
1985650.85877791349776089,782751.87303976924158633,945.01276771005018418,-1441.21705107084017072,1,1.29083426031138515,9.82637461558533687,9.91079669720923739
1985722.96925775543786585,783999.11726519407238811,1117.56260296540449417,-1155.74711696869735533,1,8.08710550572845932,-49.62125204917811061,50.27593788671521224
1987034.31168748461641371,784770.43232365837320685,1574.19563426688910113,-1077.4954695222384089,1,0.72392985887017858,-25.390751832444721,25.40106991953998161
1986268.00430122436955571,784296.57299454731401056,1309.82392915980312864,-1111.27244645798782585,1,-0.41194615422978131,-21.03570962526578114,21.03974284710923115
1985377.10603034775704145,783434.91952938458416611,954.17514415156335872,-1221.8648064250396601,1,6.67626889851965188,0.89907570680134086,6.73653497963909764
1987360.85799177037551999,783343.17345637688413262,1477.47065485996949974,-1498.32094316309803617,1,1.48247641513626149,-0.080889714605064,1.48468160470996269
1987407.65530937165021896,784199.06823645532131195,1604.2086079077469094,-1274.51132619439613336,1,-2.90074278907400185,-13.30146047062680736,13.61407945400688391
1985621.04367694049142301,783657.0775265860138461,1073.48414332784022918,-1197.05210049423067176,1,-18.9607113220345127,-6.66688489734474388,20.09865488215495333
1986504.76207708660513163,783417.72734916966874152,1253.9581960461282506,-1375.94130971993308776,1,5.89332271104854044,-6.50634147550613307,8.77859510243249908
